2019-05-25,12:50,eat
2019-05-25,14:10,work
2019-05-25,15:10,sleep
2019-05-25,15:45,prep
2019-05-25,16:45,work
2019-05-25,17:30,pause
2019-05-25,17:40,cook
2019-05-25,18:00,work
2019-05-25,19:00,eat
2019-05-25,20:45,prep
2019-05-25,23:00,sleep
2019-05-26,08:00,prep
2019-05-26,08:25,uni
2019-05-26,10:55,music
2019-05-26,11:41,cook
2019-05-26,11:59,eat
2019-05-26,13:38,math
2019-05-26,14:05,work
2019-05-26,19:40,prep
2019-05-26,20:00,eat
2019-05-26,20:50,pause
2019-05-26,23:00,sleep
2019-05-27,09:30,prep
2019-05-27,12:40,music
2019-05-27,13:21,cook
2019-05-27,13:40,eat
2019-05-27,15:20,math
2019-05-27,16:50,work
2019-05-27,19:50,cook
2019-05-27,20:10,eat
2019-05-27,21:00,prep
2019-05-27,22:45,sleep
2019-05-28,06:00,prep
2019-05-28,06:30,work
2019-05-28,07:00,uni
2019-05-28,07:34,music
2019-05-28,08:37,work
2019-05-28,11:55,prep
2019-05-28,12:05,cook
2019-05-28,12:17,prep
2019-05-28,13:15,eat
2019-05-28,14:15,pause
2019-05-28,14:40,sleep
2019-05-28,15:18,prep
2019-05-28,16:25,math
2019-05-28,16:55,work
2019-05-28,23:10,sleep
2019-05-29,08:05,prep
2019-05-29,13:05,cook
2019-05-29,13:20,eat
2019-05-29,14:15,prep
2019-05-29,14:40,sleep
2019-05-29,16:00,pause
2019-05-29,16:30,meditation
2019-05-29,18:30,prep
2019-05-29,19:25,math
2019-05-29,20:34,cook
2019-05-29,20:50,eat
2019-05-29,22:40,sleep
2019-05-30,05:16,prep
2019-05-30,05:45,math
2019-05-30,07:45,uni
2019-05-30,08:45,music
2019-05-30,12:55,cook
2019-05-30,13:10,eat
2019-05-30,14:15,uni
2019-05-30,15:05,math
2019-05-30,18:05,work
2019-05-30,18:35,prep
2019-05-30,18:52,cook
2019-05-30,20:21,eat
2019-05-30,21:00,pause
2019-05-30,21:30,meditation
2019-05-30,22:45,sleep
2019-05-31,07:00,prep
2019-05-31,07:20,work
2019-05-31,08:10,prep
2019-05-31,11:30,prep
2019-05-31,14:30,sleep
2019-05-31,15:40,prep
2019-05-31,17:20,math
2019-05-31,17:50,work
2019-05-31,18:50,cook
2019-05-31,19:20,work
2019-05-31,20:05,eat
2019-05-31,21:30,music
2019-05-31,22:30,meditation
2019-05-31,23:30,sleep
